poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,question_id,sample_size,population,population_full,tracking,created_at,url,url_article,url_topline,url_crosstab,source,partisan,race_id,cycle,office_type,seat_number,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
88530,1562,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Arizona,9/27/24,10/2/24,211720,555,lv,lv,NA,10/7/24 12:53,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,NA,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FLatest-US-Swing-States-Voting-Intention-27-September-2-October-2024.xlsx&wdOrigin=BROWSELINK,NA,NA,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,47
88530,1562,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Arizona,9/27/24,10/2/24,211720,555,lv,lv,NA,10/7/24 12:53,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,NA,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FLatest-US-Swing-States-Voting-Intention-27-September-2-October-2024.xlsx&wdOrigin=BROWSELINK,NA,NA,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,REP,Trump,16651,Donald Trump,48
88530,1562,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Arizona,9/27/24,10/2/24,211720,555,lv,lv,NA,10/7/24 12:53,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,NA,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FLatest-US-Swing-States-Voting-Intention-27-September-2-October-2024.xlsx&wdOrigin=BROWSELINK,NA,NA,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,LIB,Oliver,31790,Chase Oliver,1
88530,1562,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Arizona,9/27/24,10/2/24,211720,555,lv,lv,NA,10/7/24 12:53,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,NA,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FLatest-US-Swing-States-Voting-Intention-27-September-2-October-2024.xlsx&wdOrigin=BROWSELINK,NA,NA,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,GRE,Stein,31116,Jill Stein,1
88531,1562,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Florida,9/27/24,10/2/24,211721,2946,lv,lv,NA,10/7/24 12:53,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,NA,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FLatest-US-Swing-States-Voting-Intention-27-September-2-October-2024.xlsx&wdOrigin=BROWSELINK,NA,NA,8778,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,45
88531,1562,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Florida,9/27/24,10/2/24,211721,2946,lv,lv,NA,10/7/24 12:53,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,NA,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FLatest-US-Swing-States-Voting-Intention-27-September-2-October-2024.xlsx&wdOrigin=BROWSELINK,NA,NA,8778,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,REP,Trump,16651,Donald Trump,49
88531,1562,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Florida,9/27/24,10/2/24,211721,2946,lv,lv,NA,10/7/24 12:53,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,NA,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FLatest-US-Swing-States-Voting-Intention-27-September-2-October-2024.xlsx&wdOrigin=BROWSELINK,NA,NA,8778,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,LIB,Oliver,31790,Chase Oliver,1
88531,1562,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Florida,9/27/24,10/2/24,211721,2946,lv,lv,NA,10/7/24 12:53,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,NA,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FLatest-US-Swing-States-Voting-Intention-27-September-2-October-2024.xlsx&wdOrigin=BROWSELINK,NA,NA,8778,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,GRE,Stein,31116,Jill Stein,1
88532,1562,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Georgia,9/27/24,10/2/24,211722,3783,lv,lv,NA,10/7/24 12:53,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,NA,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FLatest-US-Swing-States-Voting-Intention-27-September-2-October-2024.xlsx&wdOrigin=BROWSELINK,NA,NA,8781,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,47
88532,1562,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Georgia,9/27/24,10/2/24,211722,3783,lv,lv,NA,10/7/24 12:53,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-27-september-2-october-2024/,NA,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FLatest-US-Swing-States-Voting-Intention-27-September-2-October-2024.xlsx&wdOrigin=BROWSELINK,NA,NA,8781,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,REP,Trump,16651,Donald Trump,47
